dataset,dataset_variant,split_name,N,prior_mode,tau_mult,Tsplit,ari__mean,ari__std,ari__median,nmi__mean,nmi__std,nmi__median,f1_feature__mean,f1_feature__std,f1_feature__median,acc__mean,acc__std,acc__median,final_K__mean,final_K__std,final_K__median,selected_dims_count__mean,selected_dims_count__std,selected_dims_count__median,selected_dims_ratio__mean,selected_dims_ratio__std,selected_dims_ratio__median,wallclock_total_sec__mean,wallclock_total_sec__std,wallclock_total_sec__median,peak_memory_mb__mean,peak_memory_mb__std,peak_memory_mb__median,split_count__mean,split_count__std,split_count__median
synthetic_correlated_noise,rho0.6_block10_noise3,correlated_noise,200,1,1.0,80,0.5125232249116878,0.18850357579655788,0.46888764496218194,0.5603254016827274,0.16014640705165384,0.5068181052996088,0.2411054344640587,0.03590906188152793,0.23952954675846239,0.66425,0.11945352542659471,0.645,4.0,0.0,4.0,74.4,10.505136588204937,73.5,0.744,0.10505136588204937,0.735,0.5690861797500247,0.053503758288071114,0.5486052444999814,468.009765625,0.1853525427969532,468.12890625,3.0,0.0,3.0
synthetic_correlated_noise,rho0.6_block10_noise3,correlated_noise,200,1,1.0,120,0.5321807409056423,0.20793286648232256,0.4811045888478914,0.566326232706992,0.1850952654811382,0.5354754114520556,0.2413538965314427,0.0373324154068606,0.23812898653437276,0.7535000000000001,0.12469014226853443,0.72,3.0,0.0,3.0,74.4,10.723314491527818,74.0,0.744,0.1072331449152782,0.74,0.5430494855500456,0.07343065500464331,0.5178865260000975,468.009765625,0.1853525427969532,468.12890625,2.0,0.0,2.0
synthetic_correlated_noise,rho0.6_block10_noise3,correlated_noise,200,1,1.0,160,0.37359421485627353,0.1885371749943877,0.4512615226558687,0.4397134534769897,0.2209592916233009,0.5277606348573165,0.23942534591517323,0.03699270296167768,0.2353266888150609,0.61025,0.11286315654483157,0.665,2.0,0.0,2.0,75.05,10.620114976084919,75.0,0.7505,0.10620114976084918,0.75,0.5278536209499975,0.06987213664935699,0.5019652624999935,468.009765625,0.1853525427969532,468.12890625,1.0,0.0,1.0
synthetic_correlated_noise,rho0.6_block10_noise3,correlated_noise,200,1,1.05,80,0.4694519615711358,0.1727373549442664,0.426217210284084,0.5350982770770509,0.15064260758684359,0.47918546164446224,0.24217924355601977,0.038143597841984886,0.23952954675846239,0.63925,0.10033201462093114,0.615,4.0,0.0,4.0,74.15,10.796076285294335,73.5,0.7415,0.10796076285294336,0.735,0.5502111960499747,0.04653613199264698,0.5337555305000024,468.009765625,0.1853525427969532,468.12890625,3.0,0.0,3.0
synthetic_correlated_noise,rho0.6_block10_noise3,correlated_noise,200,1,1.05,120,0.4053273070320559,0.21252396893001424,0.41186755506684675,0.450491267679205,0.2083492929401286,0.4796738230689429,0.24227389971992608,0.03957169143393126,0.2380952380952381,0.682,0.12129129790454228,0.6875,3.0,0.0,3.0,74.25,11.257161463287552,74.0,0.7424999999999999,0.11257161463287547,0.74,0.5332679084500228,0.07030368748289721,0.5043174969999882,468.009765625,0.1853525427969532,468.12890625,2.0,0.0,2.0
synthetic_correlated_noise,rho0.6_block10_noise3,correlated_noise,200,1,1.05,160,0.32290194342774037,0.19741390579274912,0.4403739275259055,0.3756281804581564,0.2333748850692525,0.5165317635814541,0.24131279788139892,0.03824438023573104,0.23952954675846239,0.588,0.1195429894046049,0.665,2.0,0.0,2.0,74.45,10.733494060036652,73.5,0.7445,0.10733494060036654,0.735,0.5493216279999729,0.102079744469005,0.5049736619998839,468.009765625,0.1853525427969532,468.12890625,1.0,0.0,1.0
synthetic_correlated_noise,rho0.6_block10_noise3,correlated_noise,200,1,1.1,80,0.43493311460610984,0.18453580849097126,0.3792939104563562,0.49336119910772097,0.17198653416353582,0.46560293240797457,0.2410244192225616,0.03868005405627841,0.23669467787114845,0.62325,0.10748653526445949,0.6025,3.8,0.5231483637805969,4.0,74.6,10.94195210140648,74.5,0.746,0.1094195210140648,0.745,0.5667606554499912,0.06899761518771944,0.5458332339999288,468.0291015625,0.18211794422310312,468.12890625,2.8,0.5231483637805969,3.0
synthetic_correlated_noise,rho0.6_block10_noise3,correlated_noise,200,1,1.1,120,0.38493475746622874,0.22701727391112772,0.41495223302607065,0.4342438803127676,0.22251674585525416,0.4669143299539241,0.24107011847118845,0.036262528873704354,0.23952954675846239,0.647,0.14608397008498045,0.655,2.9,0.3077935056255463,3.0,74.45,10.669558270341398,73.5,0.7445,0.10669558270341399,0.735,0.5629504260999851,0.09584296546061365,0.5249343459998954,468.0291015625,0.18211794422310312,468.12890625,1.9,0.3077935056255462,2.0
synthetic_correlated_noise,rho0.6_block10_noise3,correlated_noise,200,1,1.1,160,0.35125210901725745,0.20482811567465667,0.44153296786199264,0.41412125526054044,0.24910390590440745,0.5177101444383236,0.2411784373385352,0.038667158606746445,0.23952954675846239,0.5985,0.10730061068154076,0.665,2.0,0.0,2.0,74.55,10.980724738808165,73.5,0.7455,0.10980724738808167,0.735,0.5145313703500165,0.04878217812132826,0.4993967520000524,468.0291015625,0.18211794422310312,468.12890625,1.0,0.0,1.0
synthetic_correlated_noise,rho0.6_block10_noise3,correlated_noise,200,1,1.2,80,0.26881135570977693,0.2583990693791785,0.2874929178156659,0.32167296616634006,0.3145569644163599,0.3223962383644754,0.23982244616607512,0.040092007787966746,0.23669467787114845,0.5175000000000001,0.1626466949200661,0.5900000000000001,1.7,0.7326950970650465,2.0,75.1,11.059170997768993,74.5,0.751,0.1105917099776899,0.745,0.5218585840999935,0.052830994516747644,0.5154946710000559,468.0291015625,0.18211794422310312,468.12890625,0.7,0.7326950970650465,1.0
